X,Y_Raw,Y_Scaled,,
-180,0.80115263573383,0.900576317912415,0.999999999886415,-0.999999999886415
-179.9,0.737403896157891,0.868701948120825,0.999999999886415,-0.999999999886415
-179.8,0.666287260604864,0.833143630340272,0.999999999886415,-0.999999999886415
-179.7,0.588513302989159,0.794256651528003,0.999999999886415,-0.999999999886415
-179.6,0.504859114986646,0.752429557521995,0.999999999886415,-0.999999999886415
-179.5,0.416160541591399,0.708080270819334,0.999999999886415,-0.999999999886415
-179.4,0.323303829628957,0.66165191483284,0.999999999886415,-0.999999999886415
-179.3,0.2272167726709,0.613608386348354,0.999999999886415,-0.999999999886415
-179.2,0.128859440828195,0.564429720421416,0.999999999886415,-0.999999999886415
-179.1,0.029214588048003,0.514607294025661,0.999999999886415,-0.999999999886415
-179,-0.070722167238878,0.464638916376545,0.999999999886415,-0.999999999886415
-178.9,-0.169952290008376,0.41502385498616,0.999999999886415,-0.999999999886415
-178.8,-0.26748430567487,0.366257847147374,0.999999999886415,-0.999999999886415
-178.7,-0.362343706577615,0.318828146690614,0.999999999886415,-0.999999999886415
-178.6,-0.453582688939143,0.273208655504668,0.999999999886415,-0.999999999886415
-178.5,-0.540289623007294,0.229855188465668,0.999999999886415,-0.999999999886415
-178.4,-0.621598161758362,0.189200919085517,0.999999999886415,-0.999999999886415
-178.3,-0.696695897150154,0.151652051385356,0.999999999886415,-0.999999999886415
-178.2,-0.764832477434689,0.117583761239219,0.999999999886415,-0.999999999886415
-178.1,-0.825327104424702,0.087336447740777,0.999999999886415,-0.999999999886415
-178,-0.877575335804174,0.061212332048074,0.999999999886415,-0.999999999886415
-177.9,-0.921055124516128,0.039472437689627,0.999999999886415,-0.999999999886415
-177.8,-0.955332034884264,0.022333982503612,0.999999999886415,-0.999999999886415
-177.7,-0.980063583350623,0.009968208269028,0.999999999886415,-0.999999999886415
-177.6,-0.995002660458089,0.002498669714447,0.999999999886415,-0.999999999886415
-177.5,-0.999999999886415,0,0.999999999886415,-0.999999999886415
-177.4,-0.995005669871929,0.002497165007527,0.999999999886415,-0.999999999886415
-177.3,-0.980069572109228,0.009965213889725,0.999999999886415,-0.999999999886415
-177.2,-0.955340943149942,0.022329528370773,0.999999999886415,-0.999999999886415
-177.1,-0.921066863280433,0.039466568307474,0.999999999886415,-0.999999999886415
-177,-0.877589787777266,0.061205106061527,0.999999999886415,-0.999999999886415
-176.9,-0.825344125207233,0.08732793734951,0.999999999886415,-0.999999999886415
-176.8,-0.764851896960626,0.117574051476249,0.999999999886415,-0.999999999886415
-176.7,-0.696717521386012,0.151641239267426,0.999999999886415,-0.999999999886415
